   Vāhaṭa: Aṣṭāṅganighaṇṭu	VAhawa: Azwa-aFga-niGaNwu
   kulīraḥ karkaṭaḥ smṛtaḥ VAnigh_358b	kulIraH karkawaH smRtaH VAniG_358b
   kuśikaś cāśvakarṇakaḥ VAnigh_89d	kuSikaH ca-aSvakarNakaH VAniG_89d
   kuṣṭhaghnī phalguvāṭikā VAnigh_214b	kuzWa-GnI Palgu-vAwikA VAniG_214b
   kuṣṭhaghno bālapattrakaḥ VAnigh_83b	kuzWa-GnaH bAlapattrakaH VAniG_83b
   kuṣṭhaṃ kuṭī haimavatī ca yoni- VAnigh_166c	kuzWam kuwI hEmavatI ca yoni Va-aniG_166c
   kusumaṃ śekharaṃ lavam VAnigh_301d	kusumam SeKaram lavam VAniG_301d
   kūrcaparṇī viṣāṇikā VAnigh_93d	kUrcaparNI vizANikAH VAniG_93d
   kūṣmāṇḍakī puṣpalatā VAnigh_257c	kUzmANxakI puzpa-latA VAniG_257c
   kṛkalāso mayūrādī VAnigh_362c	kRkalAsaH mayUra-AdI Va-aniG_362c
   kṛkavākus tāmracūḍaḥ VAnigh_352a	kRkavAkuH tAmracUxaH VAniG_352a
   kṛcchrāghātarujāharaḥ VAnigh_104d	kRcCra-AGAta-rujA-haraH VAniG_104d
   kṛtaṃ tārkṣyo rasāñjanam VAnigh_61d	kRtam tArkzyaH rasAQjanam VAniG_61d
   kṛtrimācavikāphalā VAnigh_37b	kRtrima-AcavikA-PalA VAniG_37b
   kṛmikuṣṭhapraśamano VAnigh_122c	kRmi-kuzWa-praSamanaH VAniG_122c
   kṛśānuretāḥ sarvajño VAnigh_394c	kRSa-anuretAH sarvajQaH Va-aniG_394c
   kṛṣṇajīreti kākolī VAnigh_34a	kRzNajIrA-iti kAkolI Va-aniG_34a
   kṛṣṇanīlaḥ kālaśākhaḥ VAnigh_279a	kRzNa-nIlaH kAla-SAKaH VAniG_279a
   kṛṣṇapākaphalāvigna- VAnigh_271a	kRzNa-pAka-Pala-Avigna VAniG_271a
   kṛṣṇapuṣpī ca mohinī VAnigh_239d	kRzNapuzpI ca mohinI VAniG_239d
   kṛṣṇalohamayaḥ sāra- VAnigh_309a	kRzNaloha-mayaH sAra VAniG_309a
   kṛṣṇasarjakaḥ kālamālaḥ VAnigh_132c	kRzNasarjakaH kAlamAlaH VAniG_132c
   kṛṣṇasāraś citramṛgaḥ VAnigh_348c	kRzNasAraH citra-mRgaH VAniG_348c
   kṛṣṇasūkṣmaphalā yukta- VAnigh_111c	kRzNa-sUkzma-PalA yukta Va-aniG_111c
   kṛṣṇāgranthikakākamācicavikāviśvauṣadhājājibhiḥ VAnigh_30a	kRzNA-granTika-kAka-mAci-cavikA-viSva-OzaDa-ajAjiBiH VAniG_30a
   ketustu dhvajanāmakaḥ VAnigh_389d	ketuH-tu Dvaja-nAmakaH VAniG_389d
   keśarañjanako jñeyo VAnigh_235a	keSaraQjanakaH jQeyaH VAniG_235a
   keśavo mādhavaḥ svabhūḥ VAnigh_398d	keSavaH mADavaH svaBUH VAniG_398d
   kesaraṃ nāgakesaram VAnigh_62d	kesaram nAgakesaram VAniG_62d
   kesaraṃ padmasaṃbhavam VAnigh_158b	kesaram padmasaMBavam VAniG_158b
   kesaro madhuśigrukaḥ VAnigh_95d	kesaraH maDuSigrukaH VAniG_95d
   kaiḍaryaḥ surabhicchadaḥ VAnigh_279b	kExaryaH suraBicCadaH VAniG_279b
   kokilaḥ susvaraḥ pikaḥ VAnigh_357d	kokilaH su-svaraH pikaH VAniG_357d
   koṭarī śyāmasārakaḥ VAnigh_83d	kowarI SyAmasArakaH VAniG_83d
   korakakṣārakuḍmalāḥ VAnigh_403b	koraka-kzAra-kuxmalAH VAniG_403b
   koraṅgako mṛduphalo VAnigh_51c	koraFgakaH mRduPalaH VAniG_51c
   koraṇḍo nakharañjanaḥ VAnigh_319b	koraNxaH naKa-raQjanaH VAniG_319b
   koradūṣastu kodravaḥ VAnigh_335b	koradUzaH-tu kodravaH VAniG_335b
   kolakaṃ bahubījakam VAnigh_300d	kolakam bahu-bIjakam VAniG_300d
   kolīkadambaviralāmadhukaṃ madhūkam VAnigh_169d	kolI-kadamba-viralA-maDukam maDUkam VAniG_169d
   kośīram amṛṇālakam VAnigh_24d	koSIram amRNAlakam VAniG_24d
   kauṇḍinyaś ca mahādroṇaḥ VAnigh_251c	kONxinyaH ca mahAdroNaH VAniG_251c
   kauśiko gugguluḥ puraḥ VAnigh_189d	kOSikaH gugguluH puras VA-niG_189d
   kauśiko rajanīcaraḥ VAnigh_353d	kOSikaH rajanIcaraH VAniG_353d
   kratudhvaṃsī vṛṣadhvajaḥ VAnigh_395d	kratu-DvaMsI vRzaDvajaH VAniG_395d
   kramukadhavakaliṅgacchāgakarṇāśvakarṇāḥ VAnigh_79d	kramuka-Dava-kaliFga=-CAga-karNa-aSvakarNAH VAniG_79d
   kramukaṃ kaivukaṃ pūgaṃ VAnigh_88c	kramukam kEvukam pUgam Va-aniG_88c
   krimijā lohitā jatu VAnigh_297b	krimi-jA lohitAH jatu VAniG_297b
   krimivṛkṣaḥ kuśāmrakaḥ VAnigh_282d	krimivRkzaH kuSAmrakaH VAniG_282d
   kriyā cikitsitaṃ śastraṃ VAnigh_405c	kriyA cikitsitam Sastram Va-aniG_405c
   kroḍaḥ kolastathā kiriḥ VAnigh_349d	kroxaH kolaH-taTA kiriH VAniG_349d
   krodhanā piśunā caṇḍā VAnigh_189a	kroDanA piSunA caNxA Va-aniG_189a
   kṣaṇadā yāminī rātris VAnigh_390c	kzaNadA yAminI rAtriH VAniG_390c
   kṣamī vesarako balī VAnigh_345d	kzamI vesarakaH balI VAniG_345d
   kṣayāhvā keśamuṣṭikā VAnigh_138b	kzayAhvA keSamuzwikA VAniG_138b
   kṣavakasarasibhārṅgīkārmukāḥ kākamācī VAnigh_129c	kzavaka-sarasi-BArFgI-kArmukAH kAkamAcI Va-aniG_129c
   kṣavakaḥ kṣudvibodhakaḥ VAnigh_135b	kzavakaH kzuD-viboDakaH VAniG_135b
   kṣīṇavāriphalaḥ smṛtaḥ VAnigh_141d	kzINa-vAriPalaH smRtaH VAniG_141d
   kṣīraśuklā payasvinī VAnigh_5b	kzIraSuklA payasvinI VAniG_5b
   kṣīraṃ svādu payo dugdhaṃ VAnigh_324a	kzIram svAdu payaH dugDam Va-aniG_324a
   kṣīrābdhitanayā ramā VAnigh_400d	kzIrAbDi-tanayA ramAH VAniG_400d
   kṣīriṇī cārkapuṣpikā VAnigh_227d	kzIriNI ca-arkapuzpikA VAniG_227d
   kṣīrekṣuvallīgandhānyā VAnigh_5a	kzIra-ikzu-vallI-ganDA-anyAH VAniG_5a
   kṣīrodhijaś cābjayoniḥ VAnigh_407c	kzIroDijaH ca-abja-yoniH VAniG_407c
   kṣudrakaṇṭarikā tathā VAnigh_223d	kzudrakaNwarikA taTA VAniG_223d
   kṣudrakā podakī tathā VAnigh_261b	kzudrakA podakI taTA VAniG_261b
   kṣudravārī dugdhayutā VAnigh_233a	kzudravArI dugDa-yutA VAniG_233a
   kṣoṇī jyā kāśyapī kṣitiḥ VAnigh_380d	kzoNI jyA kASyapI kzitiH VAniG_380d
   khañjakākhyaḥ kalāyakaḥ VAnigh_339d	KaQjaka-AKyaH kalAyakaH VAniG_339d
   khaṭvā paryaṅkapādikā VAnigh_255d	KawvA paryaFkapAdikA VAniG_255d
   khaṇḍaṃ phullamiti smṛtam VAnigh_326b	KaNxam Pullam-iti smRtam VAniG_326b
   khaṇḍena khaṇḍavāsaḥ syāt VAnigh_330c	KaNxena KaNxavAsaH syAt Va-aniG_330c
   khadirakadarabhaṇḍīśiṃśapāmeṣaśṛṅgyaḥ VAnigh_79b	Kadira-kadara-BaNxI-SiMSapA-mezaSRFgyaH VAniG_79b
   khadyoto dyumaṇistathā VAnigh_383b	KadyotaH dyumaNiH-taTA VAniG_383b
   kharacchadaḥ pāṇḍuphalo VAnigh_64c	KaracCadaH pANxuPalaH Va-aniG_64c
   kharabandhā niśāhvayā VAnigh_10d	KarabanDAH niSAhvayA VAniG_10d
   kharabusavṛṣakarṇī kaṭphalaṃ kāsamardaḥ VAnigh_129b	Kara-busa-vRzakarNI kawPalam kAsamardaH VAniG_129b
   kharāśvā vṛddhadārukaḥ VAnigh_223b	KarASvA vRdDadArukaH VAniG_223b
   kharjūrī svādumastakā VAnigh_281b	KarjUrI svAdu-mastakAH VAniG_281b
   khūrjarikas tu kāliṅgaḥ VAnigh_257a	KUrjarikaH tu kAliFgaH Va-aniG_257a
   gaṅgādharo 'ndhakaripuḥ VAnigh_395c	gaFgADaraH anDakaripuH Va-aniG_395c
   gajo hastī karībhaś ca VAnigh_344a	gajaH hastI karIBaH ca Va-aniG_344a
   gaṇe vīratarādike VAnigh_105b	gaNe vIratarAdike VAniG_105b
   gaṇeṣu yāni dravyāṇi VAnigh_202a	gaNezu yAni dravyANi VAniG_202a
   gaṇau priyaṅgvambaṣṭhādī VAnigh_156a	gaNO priyaFgu-ambazWA-AdI VAniG_156a
   gaṇḍūpadā bhūmilatā VAnigh_367a	gaNxUpadA BUmilatA VAniG_367a
   gandhayuktā sāravastrā VAnigh_178c	ganDa-yuktA sAra-vastrAH VAniG_178c
   gandhaveṇī mukhapriyā VAnigh_298d	ganDaveNI muKa-priyA VAniG_298d
   gandhāḍhyaḥ kurumardakaḥ VAnigh_227b	ganDAXyaH kuru-mardakaH VAniG_227b
   gandhāhvā somasambhavā VAnigh_232b	ganDAhvA somasamBavA VAniG_232b
   gandho bahalapallavaḥ VAnigh_94d	ganDaH bahalapallavaH VAniG_94d
   garaṃ kṛtrimasaṃjñakam VAnigh_312d	garam kRtrima-saMjQakam VAniG_312d
   gardabhāṇḍaḥ kapītanaḥ VAnigh_173d	gardaBANxaH kapItanaH VAniG_173d
   galā jñeyārkapuṣpikā VAnigh_16b	galA jQeya-arkapuzpikA VAniG_16b
   gavākṣī gajacirbhiṭī VAnigh_197d	gavAkzI gajacirBiwI VAniG_197d
   gavedhukā ca gojihvā VAnigh_336a	gaveDukA ca gojihvA VAniG_336a
   gāṅgeyī kuruvindā ca VAnigh_151c	gAFgeyI kuruvindA ca Va-aniG_151c
   gāṅgerukī nāgabalā VAnigh_10c	gAFgerukI nAgabalA Va-aniG_10c
   gāyatrī khadiro gītā VAnigh_83a	gAyatrI KadiraH gItAH VAniG_83a
   gālo rāṭho 'tha madanaḥ VAnigh_77c	gAlaH rAWaH aTa madanaH VAniG_77c
   girikarṇy aśvakṣurakaḥ VAnigh_198c	girikarNI aSvakzurakaH Va-aniG_198c
   girijaṃ ca śilāhvayam VAnigh_102d	girijam ca SilAhvayam VAniG_102d
   girimṛd gairikaḥ smṛtaḥ VAnigh_287b	giri-mRd gErikaH smRtaH VAniG_287b
   girīśo giriśo mṛḍaḥ VAnigh_392d	girISaH giriSaH mRxaH VAniG_392d
   guḍamūlo 'sipattrakaḥ VAnigh_201b	guxamUlaH asipattrakaH VAniG_201b
   guḍastvikṣuvikāraḥ syāt VAnigh_326a	guxaH-tu-ikzu-vikAraH syAt VAniG_326a
   guḍūcī kuṇḍalī chinna- VAnigh_45c	guxUcI kuNxalI Cinna Va-aniG_45c
   guḍūcīpadmakāriṣṭa- VAnigh_66a	guxUcI-padmaka-arizwa Va-aniG_66a
   guḍena gauḍaṃ sitayā VAnigh_330a	guxena gOxam sitayA VAniG_330a
   guṇṭho vṛttatṛṇaḥ śuṇṭhaḥ VAnigh_110a	guNWaH vRtta-tRNaH SuNWaH VAniG_110a
   gundrā syād gucchapuṣpikā VAnigh_108d	gundrA syAt gucCapuzpikAH VAniG_108d
   gurur bṛhaspatir mantrī VAnigh_388c	guruH bRhaspatiH mantrI Va-aniG_388c
   gulmamedaḥkaphāpaham VAnigh_98d	gulma-medaH-kaPa-apaham VAniG_98d
   gulmamehāśmarīpāṇḍu- VAnigh_140c	gulma-meha-aSmarI-pANxu Va-aniG_140c
   gulmaṃ cāntaḥ savidradhim VAnigh_91d	gulmam ca-antar sa-vidraDim VAniG_91d
   gūḍhapākī śilāphalā VAnigh_282b	gUXapAkI SilAPalA VAniG_282b
   gūḍhapāt kacchapaḥ kūrmaḥ VAnigh_358a	gUXapAd kacCapaH kUrmaH VAniG_358a
   gehapakṣī kapotakaḥ VAnigh_351d	gehapakzI kapotakaH VAniG_351d
   gokaṇṭako gokṣurakaḥ VAnigh_20c	gokaNwakaH gokzurakaH VAniG_20c
   gokaṇṭakotkaṭasahācarabāṇakāśāḥ VAnigh_103b	gokaNwaka-utkawa-sahAcara-bANa-kASAH VAniG_103b
   gojihvā karkaśacchadā VAnigh_213d	gojihvA karkaSa=-CadAH VAniG_213d
   gojī kroṣṭukamūlakaḥ VAnigh_243b	gojI krozwuka-mUlakaH VAniG_243b
   gotrā kuḥ pṛthivī kṣamā VAnigh_381d	gotrA kuH pRTivI kzamA VAniG_381d
   godantaṃ naṭabhūṣaṇam VAnigh_289b	godantam nawa-BUzaNam VAniG_289b
   godhāpadī godhavallī VAnigh_222c	goDApadI goDavallI VAniG_222c
   godhūmo mlecchabhojanaḥ VAnigh_334d	goDUmaH mlecCa-BojanaH VAniG_334d
   godhūlikā ca gojihvā VAnigh_243a	goDUlikA ca gojihvA VAniG_243a
   gopikā bāṇakaḥ smṛtaḥ VAnigh_245d	gopikA bANakaH smRtaH VAniG_245d
   gomalaṃ gomayaṃ smṛtam VAnigh_332d	gomalam gomayam smRtam VAniG_332d
   gomāyur mṛgadhūrtakaḥ VAnigh_351b	gomAyuH mRgaDUrtakaH VAniG_351b
   gorakṣatumbī gorakṣī VAnigh_258a	gorakzatumbI gorakzI Va-aniG_258a
   gorocanā badarikā VAnigh_296c	gorocanA badarikA VAniG_296c
   gośīrṣaṃ śvetacandanam VAnigh_28b	goSIrzam Svetacandanam VAniG_28b
   gostanī cauttarāpathā VAnigh_52d	gostanI ca-OttarApaTAH VAniG_52d
   gaudherakākṛtir godhā VAnigh_365c	gODeraka-AkRtiH goDA Va-aniG_365c
   gauraḥ kanakapuṣpakaḥ VAnigh_211d	gOraH kanakapuzpakaH VAniG_211d
   gaurī ca gṛhagodhikā VAnigh_365b	gOrI ca gRhagoDikA VAniG_365b
   gaurī śyāmā ca nirviṣā VAnigh_152b	gOrI SyAmA ca nirvizAH VAniG_152b
   gaur bhūmir medinī mahī VAnigh_380b	gOH BUmiH medinI mahI VAniG_380b
   granthilā kolavallikā VAnigh_32d	granTilA kolavallikA VAniG_32d
   granthilā snug guḍā snuhī VAnigh_142b	granTilA snuh guxA snuhI VAniG_142b
   glaur mṛgāṅkaḥ kalānidhiḥ VAnigh_387b	glOH mRgAFkaH kalAniDiH VAniG_387b
   ghaṭikā chatrapattrakā VAnigh_233b	GawikA CatrapattrakAH VAniG_233b
   ghanatvak cākṣibheṣajaḥ VAnigh_115d	Gana-tvac ca-akzi-BezajaH VAniG_115d
   ghanabhūrirasas tv ikṣuḥ VAnigh_201a	Gana-BUri-rasaH tu ikzuH VAniG_201a
   ghanasāro himarājaḥ VAnigh_299a	GanasAraH himarAjaH VAniG_299a
   ghasro bhāskaravallabhaḥ VAnigh_391b	GasraH BAskaravallaBaH VAniG_391b
   ghṛtamājyaṃ haviḥ sarpiḥ VAnigh_325c	GRtam-Ajyam haviH sarpiH Va-aniG_325c
   ghoṇṭo muṇṭhagopaghoṇṭau VAnigh_78c	GoNwaH muNWa-gopa-GoNwO VAniG_78c
   ghoṣaṃ daṇḍāhataṃ takraṃ VAnigh_325a	Gozam daNxa-Ahatam takram Va-aniG_325a
   cakrapāṇiś caturbhujaḥ VAnigh_399d	cakrapANiH catur-BujaH VAniG_399d
   cakrāṅgī jalaśoṣakaḥ VAnigh_252d	cakrAFgI jalaSozakaH VAniG_252d
   cakrī vyālaḥ sarīsṛpaḥ VAnigh_360d	cakrI vyAlaH sarIsRpaH VAniG_360d
   cakṣuṣyā cāraṭī jñeyā VAnigh_230a	cakzuzyA cArawI jQeyAH VAniG_230a
   cakṣuṣyā bahulāṅgikā VAnigh_85b	cakzuzyA bahula-aFgikA VAniG_85b
   caṭakaḥ kalaviṅkaś ca VAnigh_355c	cawakaH kalaviFkaH ca Va-aniG_355c
   caṇakastu kalāyaḥ syād VAnigh_334c	caNakaH-tu kalAyaH syAt VAniG_334c
   caṇakāḥ kṛṣṇakañcukāḥ VAnigh_338b	caNakAH kRzNa-kaQcukAH VAniG_338b
   caṇḍāgugguladevadhūpakhapurāḥ puṃnāganāgāhvayam VAnigh_179d	caNxA-guggula-devaDUpa-KapurAH puMnAga-nAgAhvayam VAniG_179d
   candrarekhā tv avalgujaḥ VAnigh_229d	candrareKA tu avalgujaH VAniG_229d
   camasī cātibījā syāt VAnigh_335a	camasI ca-atibIjA syAt VAniG_335a
   calakaphamedaḥpīnasagulmajvaraśūladurnāmnaḥ VAnigh_144/b	cala-kaPa-medaH-pInasa-gulma-jvara-SUla-durnAmnaH VAniG_144/b
   cānyā brāhmī vanauṣadhiḥ VAnigh_246d	ca-anyA brAhmI vana-ozaDiH VAniG_246d
   cāraṭī padmacāriṇī VAnigh_157d	cArawI padmacAriNI VAniG_157d
   cāraṭī śukabarhākhyaṃ VAnigh_186a	cArawI Sukabarha-AKyam Va-aniG_186a
   cāro drākṣārasapriyaḥ VAnigh_176b	cAraH drAkzA-rasa-priyaH VAniG_176b
   cāsrapittaharā sarā VAnigh_12b	ca-asrapitta-harA sarA VAniG_12b
   citrako dvīpisaṃjñas tu VAnigh_76a	citrakaH dvIpi-saMjQaH tu Va-aniG_76a
   citrā mukūlako dantī VAnigh_193a	citrA mukUlakaH dantI Va-aniG_193a
   citro gandharvahastakaḥ VAnigh_6b	citraH ganDarvahastakaH VAniG_6b
   cipiṭaṃ cippaṭaṃ ciṭṭaṃ VAnigh_310a	cipiwam cippawam ciwwam Va-aniG_310a
   cirajīvī ca vāyasaḥ VAnigh_354d	cirajIvI ca vAyasaH VAniG_354d
   cirbhiṭikā citraphalā VAnigh_258c	cirBiwikA citraPalAH Va-aniG_258c
   cillī tu lomaśā smṛtā VAnigh_262b	cillI tu lomaSA smRtA VAniG_262b
   cīnāraṃ cirbhaṭaṃ smṛtam VAnigh_258d	cInAram cirBawam smRtam VAniG_258d
   cukrikā cāmlikā ciñcā VAnigh_260a	cukrikA ca-amlikA ciQcA Va-aniG_260a
   cukrikā tv amlacāṅgerī VAnigh_260c	cukrikA tu amla-cAFgerI VAniG_260c
   caityadruś calapattrakaḥ VAnigh_171d	cEtyadruH calapattrakaH VAniG_171d
   cocaṃ ciṣu nārikelaḥ VAnigh_269a	cocam cizu nArikelaH VAniG_269a
   cocaṃ tvak ca varāṅgakam VAnigh_184d	cocam tvac ca varAFgakam VAniG_184d
   coco dīrghaphalaḥ smṛtaḥ VAnigh_274b	cocaH dIrGaPalaH smRtaH VAniG_274b
   corako granthiparṇī syāt VAnigh_184a	corakaH granTiparNI syAt VAniG_184a
   cośanā bhārgavaḥ kaviḥ VAnigh_388d	coSanA BArgavaH kaviH VAniG_388d
   caurī śaṅkhinikā matā VAnigh_189b	cOrI SaFKinikA matA VAniG_189b
   chade hrasvas tailapuṣpas VAnigh_27c	Cade hrasvaH tEla-puzpaH VA-niG_27c
   chardanas tagaraḥ phalam VAnigh_78b	CardanaH tagaraH Palam VAniG_78b
   chardikuṣṭhaviṣajvarān VAnigh_69b	Cardi-kuzWa-viza-jvarAn VAniG_69b
   chuchundarī rājaputrī VAnigh_364c	CuCundarI rAja-putrI Va-aniG_364c
   jaṭilā bhūtakeśinī VAnigh_58d	jawilA BUtakeSinI VAniG_58d
   jatuvṛkṣo ghanaskandhaḥ VAnigh_282c	jatu-vRkzaH Gana-skanDaH VAniG_282c
   jatvaśmajaṃ dhātujaṃ ca VAnigh_296a	jatu-aSmajam DAtu-jam ca Va-aniG_296a
   jantughnaṃ jaraṇaṃ hiṅgu VAnigh_36a	jantu-Gnam jaraNam hiFgu VAniG_36a
   jantughnaṃ jaraṇaṃ hiṅgu VAnigh_100c	jantu-Gnam jaraNam hiFgu VAniG_100c
   jambīro jambhalo jambhaḥ VAnigh_272a	jambIraH jamBalaH jamBaH VAniG_272a
   jambudvayārjunakapītanasomavalkāḥ VAnigh_169b	jambu-dvaya-arjuna-kapItana-somavalkAH VAniG_169b
   jambūlo bhūkadambakaḥ VAnigh_137d	jambUlaH BUkadambakaH VAniG_137d
   jambo dantaśaṭhaḥ smṛtaḥ VAnigh_272b	jambaH dantaSaWaH smRtaH VAniG_272b
   jayavṛkṣendravṛkṣakau VAnigh_165b	jayavRkza-indravRkzakO VAniG_165b
   jayāgnimantho 'raṇikā VAnigh_94a	jaya-agnimanTaH araNikAH Va-aniG_94a
   jalakandas trikoṇakaḥ VAnigh_317b	jalakandaH trikoNakaH VAniG_317b
   jalajāmbhoruhāṇi ca VAnigh_60b	jalaja-amBoruhANi ca VAniG_60b
   jalajāmbhoruhāṇi ca VAnigh_314d	jalaja-amBoruhANi ca VAniG_314d
   jalajo dīrghaniḥsvanaḥ VAnigh_304b	jalajaH dIrGa-niHsvanaH VAniG_304b
   jalaukā jalaśāyanaḥ VAnigh_359b	jalOkA jalaSAyanaH VAniG_359b
   jātarūpaṃ tathā hema VAnigh_305c	jAtarUpam taTA hema Va-aniG_305c
   jātikā jātipattrakaḥ VAnigh_300b	jAtikA jAtipattrakaH VAniG_300b
   jātīphalaṃ majjasāraṃ VAnigh_40a	jAtIPalam majja-sAram Va-aniG_40a
   jātīphalaṃ majjasāraṃ VAnigh_300a	jAtIPalam majja-sAram Va-aniG_300a
   jātī madanaśauṇḍikau VAnigh_40b	jAtI madana-SONxikO VAniG_40b
   jātīraso raso bolaṃ VAnigh_186c	jAtI-rasaH rasaH bolam Va-aniG_186c
   jātuṣaś carmasāhvayaḥ VAnigh_356b	jAtuzaH carmasAhvayaH VAniG_356b
   jāmbūnadaṃ hiraṇyaṃ ca VAnigh_306a	jAmbUnadam hiraNyam ca Va-aniG_306a
   jālavṛkṣo duṣpradharṣaḥ VAnigh_97c	jAlavRkzaH duzpraDarzaH VAniG_97c
   jālārir mehaśatruś ca VAnigh_244a	jAlAriH mehaSatruH ca Va-aniG_244a
   jālinī kṛtavedhanaḥ VAnigh_241b	jAlinI kRtaveDanaH VAniG_241b
   jiṅgiṇī jhiṅgiṇī jñeyā VAnigh_116a	jiFgiNI JiFgiNI jQeyAH VAniG_116a
   jiṅgiṇīsaralakaṭphalayuktāḥ VAnigh_113b	jiFgiNI-sarala-kawPala-yuktAH VAniG_113b
   jihmagaḥ pavanāśanaḥ VAnigh_361d	jihma-gaH pavanASanaH VAniG_361d
   jihvā lāṅgalikā smṛtā VAnigh_124d	jihvA lAFgalikA smRtAH VAniG_124d
   jīrakahiṅguviḍaṅgaṃ paśugandhā pañcakolakaṃ hanti VAnigh_144/a	jIraka-hiFgu-vixaFgam paSuganDA paQcakolakam hanti VAniG_144/a
   jīraṇā kārabhī yoni- VAnigh_34c	jIraNA kAraBI yoni Va-aniG_34c
   jīvakaḥ kūrcanibhas tu VAnigh_16c	jIvakaH kUrca-niBaH tu Va-aniG_16c
   jīvanaṃ bhuvanaṃ vanam VAnigh_323d	jIvanam Buvanam vanam VAniG_323d
   jīvantiko raktaśākaḥ VAnigh_261c	jIvantikaH raktaSAkaH Va-aniG_261c
   jīvantī jīvanī jīvā VAnigh_15c	jIvantI jIvanI jIvAH Va-aniG_15c
   jīvantī tintiḍī smṛtā VAnigh_260b	jIvantI tintixI smRtA VAniG_260b
   jīvavṛkṣas tu pāśikaḥ VAnigh_204b	jIvavRkzaH tu pASikaH VAniG_204b
   juṣṭo 'sau dhanasaṃyutaḥ VAnigh_407b	juzwaH asO Dana-saMyutaH VAniG_407b
   joṅgakaḥ śītaśamano VAnigh_87a	joFgakaH SIta-SamanaH Va-aniG_87a
   jñeyaṃ vāriprasādanam VAnigh_53d	jQeyam vAri-prasAdanam VAniG_53d
   jñeyaḥ kaṇṭakīkiṃśukaḥ VAnigh_212b	jQeyaH kaNwakI-kiMSukaH VAniG_212b
   jñeyaḥ kukkuṭapādikaḥ VAnigh_242d	jQeyaH kukkuwapAdikaH VAniG_242d
   jñeyā karkaṭaśṛṅgikā VAnigh_45b	jQeyA karkawaSRFgikA VAniG_45b
   jñeyā pāṣāṇabhedikā VAnigh_107b	jQeyA pAzANaBedikA VAniG_107b
   jñeyā badarikāparṇī VAnigh_229a	jQeyA badarikAparNI VAniG_229a
   jñeyo nāgahanus tathā VAnigh_187b	jQeyaH nAgahanuH taTA VAniG_187b
   jñeyo madhūlasaṃjño 'pi VAnigh_27a	jQeyaH maDUla-saMjQaH api VA-niG_27a
   jñeyo meṣavilocanaḥ VAnigh_234b	jQeyaH meza-vilocanaH VAniG_234b
   jñeyo yamalapattrakaḥ VAnigh_215b	jQeyaH yamalapattrakaH VAniG_215b
   jyotiṣmatī kaṅguṇikā VAnigh_225c	jyotizmatI kaFguNikA VAniG_225c
   jyotiṣmatī pītatailā VAnigh_126c	jyotizmatI pIta-tElA VAniG_126c
   jhillikā ghargharasvanā VAnigh_370b	JillikA GarGara-svanA VAniG_370b
   ḍolāphalas tīkṣṇasāro VAnigh_26a	xolAPalaH tIkzNa-sAraH Va-aniG_26a
   takkārī vaijayantikā VAnigh_94b	takkArI vEjayantikA VAniG_94b
   tagaraṃ rūpyaśatrukaḥ VAnigh_307d	tagaram rUpya-SatrukaH VAniG_307d
   taṇḍulīyo meghanādaḥ VAnigh_262a	taNxulIyaH meGanAdaH VAniG_262a
   tat kiṭṭaṃ syād ayomalam VAnigh_309d	tat kiwwam syAt ayomalam VAniG_309d
   tathā gandhotkaṭo muniḥ VAnigh_322d	taTA ganDotkawaH muniH VAniG_322d
   tathā cāśvagavedhukā VAnigh_11b	taTA ca-aSvagaveDukA VAniG_11b
   tathā puṣpāvarodhikā VAnigh_161d	taTA puzpa-avaroDikAH VAniG_161d
   tathā bhūmipariśrayā VAnigh_134b	taTA BUmi-pariSrayA VAniG_134b
   tathāraṇyakulatthikā VAnigh_230b	taTA-araNya-kulatTikA VAniG_230b
   tathekṣukusumaś ca saḥ VAnigh_237d	taTA-ikzukusumaH ca saH VAniG_237d
   tathaivāñjalikārikā VAnigh_161b	taTA-eva-aQjalikArikA VAniG_161b
   tapanīyaṃ ca kāñcanam VAnigh_306b	tapanIyam ca kAQcanam VAniG_306b
   tamastu rāhuḥ svarbhānuḥ VAnigh_389c	tamaH-tu rAhuH svarBAnuH VAniG_389c
   tamālaṃ romaśīphalam VAnigh_185b	tamAlam romaSI-Palam VAniG_185b
   taruṇī puṣpavaty api VAnigh_235d	taruNI puzpavatI api VA-niG_235d
   talāṭā sthūladantikā VAnigh_363d	talAwA sTUladantikA VAniG_363d
   tavakṣīrī tuṣā śubhrā VAnigh_44c	tavakzIrI tuzA SuBrAH VAniG_44c
   tāḍapattrī musaly api VAnigh_236d	tAxapattrI musalI api VA-niG_236d
   tāḍas tālo dīrghatarus VAnigh_86a	tAxaH tAlaH dIrGataruH VAniG_86a
   tāny uktāny abhidhīyante VAnigh_202c	tAni uktAni aBiDIyante Va-aniG_202c
   tāpīsamudbhavaṃ tāpyaṃ VAnigh_295c	tApI-samudBavam tApyam Va-aniG_295c
   tāmrapuṣpo yugacchadaḥ VAnigh_220b	tAmrapuzpaH yugacCadaH VAniG_220b
   tāmramaudumbaraṃ śulbaṃ VAnigh_306c	tAmram-Odumbaram Sulbam Va-aniG_306c
   tāmravarṇo 'nilāpahā VAnigh_338d	tAmra-varNaH anila-apahA VAniG_338d
   tāmrābho hariṇaḥ kṛṣṇas VAnigh_348a	tAmra-ABaH hariNaH kRzNaH VA-aniG_348a
   tāmrā yojanavally api VAnigh_159b	tAmrA yojanavallI api VAniG_159b
