   1.01.068 svaṃ rūpaṃ śabdasya=a-śabda-saṃjñā	1.01.068 svam rUpam Sabdasya=a--Sabda--saMjQA
   1.01.069 aṆ uT=it savarṇasya ca=a-pratyayaḥ	1.01.069 aṆ uT=it savarNasya ca=a--pratyayaH
   1.01.070 Ta-paras tat-kālasya	1.01.070 Ta-paraH tat-kAlasya
   1.01.071 ādir antyena saha=ITā	1.01.071 AdiH antyena saha=ITA
   1.01.072 yena vidhis tad-antasya	1.01.072 yena viDiH tad--antasya
   1.01.073 vṛd-dhi-r yasya=aCām ādis tad vṛd-dham	1.01.073 vRd-Di-H yasya=aCAm AdiH tat vRd-Dam
   1.01.074 tyad-ādīni ca	1.01.074 tyad-a-AdIni ca
   1.01.075 eṄ prācām deśe	1.01.075 eṄ prAcAm deSe
   1.02.001 gāṄ-kuṭādibhyaḥ=a-Ñ-Ṇ-IT=Ṅ-IT	1.02.001 gAṄ-kuwa-AdiByaH=a-Ñ-Ṇ-IT=Ṅ-IT
   1.02.002 vija iṬ	1.02.002 vijaH iṬ
   1.02.003 vibhāṣā=ūrṇoḥ	1.02.003 viBAzA-=UrNoH
   1.02.004 sārvadhātukam a-P-IT	1.02.004 sArvaDAtukam a-P-IT
   1.02.005 a-saṃyogāt=lIṬ K-IT	1.02.005 a-saMyoga-at=lIṬ K-IT
   1.02.006 indhi-bhavatibhyāṃ ca	1.02.006 inDi--BavatiByAm ca
   1.02.007 mṛḍḥ-mṛdḥ-gudhḥ-kuṣḥ-kliśA-vadḥ-vasaḥ Krvā	1.02.007 mRxH-mRdH-guDH--kuzH--kliSA-vat-H-vasaH KrvA
   1.02.008 ruda-vidḥ-muṣḥ-grahi-svapi-pracchaḥ saN=ca	1.02.008 ruda-vidH--muzH--grahi-su-api-pracCaH saN=ca
   1.02.009 iKo jhaL	1.02.009 iKaH JaL
   1.02.010 haL-antāt=ca	1.02.010 haL-antAt-=ca
   1.02.011 lIṄ-siCau=ātmanepadeṣu	1.02.011 lIṄ-si-CO=a-Atmanepadezu
   1.02.012 us ca	1.02.012 us ca
   1.02.013 vā gamaḥ	1.02.013 vA gamaH
   1.02.014 hanaḥ siC	1.02.014 hanaH siC
   1.02.015 yamo gandhane	1.02.015 yamaH ganDane
   1.02.016 vibhāṣā=upayamane	1.02.016 viBAzA=-upayamane
   1.02.017 sthā-GHVor iT=ca	1.02.017 sTA-GHVoH iT=ca
   1.02.018 na Ktvā sa=iṬ	1.02.018 na KtvA sa=iṬ
   1.02.019 niṣṭhā śīṄ-svidi-midi-kṣvidi-dhṛṣaḥ	1.02.019 nizWA SIṄ-svidi-mi-di-kzu-idi-DRzaH
   1.02.020 mṛṣas titikṣāyām	1.02.020 mRzaH titikzAyAm
   1.02.021 uT=upadhāt=bhāva=ādikarmaṇor anyatarasyām	1.02.021 uT=upaDAt=-BAva=Adi-karmaNoH anyatarasyAm
   1.02.022 pūṄaḥ Ktvā ca	1.02.022 pUṄaH KtvA ca
   1.02.023 na=upadhāt tha-pha=antāt=vā	1.02.023 na=upaDAt Ta-Pa=antAt=vA
   1.02.024 vanci=lunci=ṛtas ca	1.02.024 vanci=-lunci-=RtaH ca
   1.02.025 tṛṣi-mṛṣi-kṛśeḥ kāśyapasya	1.02.025 tRzi-m-Rzi-kRSeH kASyapasya
   1.02.026 raLo u=i=upadhāt=haL-ādeḥ saN=ca	1.02.026 raLaH u=i=upaDAt=-haL--a-AdeH saN=ca
   1.02.027 ū-kālaḥ=aC=hrasva-dīrgha-plutaḥ	1.02.027 U-kAlaH=a-C=hrasva--dIrGa-plutaH
   1.02.028 aCaś ca	1.02.028 aCaH ca
   1.02.029 uccair udāttaḥ	1.02.029 uccEs udAttaH
   1.02.030 nīcair anudāttaḥ	1.02.030 nIcEs anudAttaH
   1.02.031 samāhāraḥ svaritaḥ	1.02.031 samAhAraH svaritaH
   1.02.032 tasya=ādita udāttam ardha-hrasvam	1.02.032 tasya-=Aditas udAttam arDa-hrasvam
   1.02.033 eka-śruti dūrāt sambuddhau	1.02.033 eka-Sruti dUrAt sambudDO
   1.02.034 yajña-karmaṇi=a-japa-nyūṛkha-sāmasu	1.02.034 yajQa--karmaNi-=a-ja-pa-nI-URKa--sAmasu
   1.02.035 uccaistarāṃ vā vaṣaṭkāraḥ	1.02.035 uccEstarAm vA vazawkAraH
   1.02.036 vibhāṣā chandasi	1.02.036 viBAzA Candasi
   1.02.037 na subrahmaṇyāyām svaritasya tu=udāttaḥ	1.02.037 na subrahmaNyAyAm svaritasya tu=udAttaH
   1.02.038 deva-brahmaṇor anudāttaḥ	1.02.038 deva-brahmaNoH anudAttaH
   1.02.039 svaritāt saṃhitāyām anudāttānām	1.02.039 svaritAt saMhitAyAm anudAttAnAm
   1.02.040 udātta-svarita-parasya sannataraḥ	1.02.040 udAtta-svarita--parasya sannataraH
   1.02.041 apṛkta eka=aL pratyayaḥ	1.02.041 apRktaH eka=aL pratyayaH
   1.02.042 tatpuruṣaḥ samāna=adhikaraṇaḥ karmadhārayaḥ	1.02.042 tatpuruzaH samAna-=aDikaraNaH karmaDArayaH
   1.02.043 prathamā-nirdiṣṭaṃ samāsa upasarjanam	1.02.043 praTamA--nirdizwam samAse upasarjanam
   1.02.044 eka-vibhakti ca=a-ūrva-nipāte	1.02.044 eka-viBakti ca=a-Urva-nipAte
   1.02.045 arthavad a-dhātur a-pratyayaḥ prātipadikam	1.02.045 arTavat a-DAtuH a-pratyayaH prAtipadikam
   1.02.046 kṛt-taddhita-samāsāś ca	1.02.046 kRt--tad-hita--samAsAH ca
   1.02.047 hrasvo napuṃsake prātipadikasya	1.02.047 hrasvaH napuMsake prAtipadikasya
   1.02.048 go-striyor upasarjanasya	1.02.048 go-striyoH upasarjanasya
   1.02.049 luK taddhita-luKi	1.02.049 luK tad-hita--luKi
   1.02.050 iT=goṇyāḥ	1.02.050 iT=-goNyAH
   1.02.051 luPi yuktavat=vyakti-vacane	1.02.051 luPi yuktavat=-vyakti--vacane
   1.02.052 viśeṣaṇānāṃ ca=a-jāteḥ	1.02.052 viSezaNAnAm ca=a-jAteH
   1.02.053 tad aśiṣyaṃ saṃjñā-pramāṇatvāt	1.02.053 tat aSizyam saMjQA--pramANa-tvAt-
   1.02.054 lup=yoga=a-prakhyānāt	1.02.054 lup=-yoga=a--praKyAnAt
   1.02.055 yoga-pramāṇe ca tad-abhāve=a-darśanaṃ syāt	1.02.055 yoga--pramANe ca tad--aBAve=a-darSanam syAt-
   1.02.056 pradhāna-pratyaya=artha-vacanam arthasya=anya-pramāṇatvāt	1.02.056 praDAna--pratyaya-=arTa--vacanam arTasya=anya--pramANa-tvAt-
   1.02.057 kāla=upasarjane ca tulyam	1.02.057 kAla=upasarjane ca tulyam
   1.02.058 jāty-ākhyāyām ekasmin bahuvacanam anyatarasyām	1.02.058 jAty-AKyAyAm ekasmin bahuvacanam anyatarasyAm
   1.02.059 asmado dvāyoś ca	1.02.059 asmadaH dvAyoH ca
   1.02.060 phalgunī-proṣṭhapadānāṃ ca nakṣatre	1.02.060 PalgunI--prozWapadAnAm ca nakzatre
   1.02.061 chandasi punarvasvor ekavacanam	1.02.061 Candasi punarvasvoH eka-vacanam
   1.02.062 visākhayos ca	1.02.062 visAKayoH ca
   1.02.063 tiṣya-punarvasvor nakṣatra-dvaṃdve bahuvacanasya dvivacanam	1.02.063 tizya--punarvasvoH nakzatra--dvaMdve bahuvacanasya dvivacanam
   nityam	nityam
   1.02.064 sarūpāṇām ekaśeṣa eka-vibhaktau	1.02.064 sarUpANAm eka-SezaH eka-viBaktO
   1.02.065 vṛddho yūnā tad=lakṣaṇaś ced-eva viśeṣaḥ	1.02.065 vRdDaH yUnA tad-=lakzaNaH ced--eva viSezaH
   1.02.066 strī puṃvat=ca	1.02.066 strI puMvat-=ca
   1.02.067 pumān striyā	1.02.067 pumAn striyA
   1.02.068 bhrātṛ-putrau svasṛ-duhitṛbhyām	1.02.068 BrAtR--putrO svasR--duhitRByAm
   1.02.069 napuṃsakam a-napuṃsakena=ekavat=a=asya=nyatarasyām	1.02.069 napuMsakam a-napuMsakena-=ekavat=a=asi-a=nyatarasyAm
   1.02.070 pitā mātrā	1.02.070 pitA mAtrA
   1.02.071 śvaśuraḥ śvaśrvā	1.02.071 SvaSuraH SvaSrvA
   1.02.072 tyad-ādīni sarvair nityam	1.02.072 tyad-a-AdIni sarvEH nityam
   1.02.073 grāmya-paśu-saṃgheṣu=a-taruṇeṣu strī	1.02.073 grAmya--paSu--saMGa-izu=a-taruNezu strI
   1.03.001 bhūvādayo dhātavaḥ	1.03.001 BUva-AdayaH DAtavaH
   1.03.002 upadeśe=aC=anunāsika IT	1.03.002 upadeSe=a-C=anunAsikaH IT
   1.03.003 haL antyam	1.03.003 haL antyam
   1.03.004 na vibhaktau tU-s-māḥ	1.03.004 na viBaktO tU-s-mAH
   1.03.005 ādir ÑI-ṬU-ḌAV-aḥ	1.03.005 AdiH ÑI-ṬU-ḌAV-aH
   1.03.006 ṣaḥ pratyayasya	1.03.006 zaH pratyayasya
   1.03.007 cU-ṭŪ	1.03.007 cU-wŪ
   1.03.008 la-śa-kU=a-taddhite	1.03.008 la-Sa--kU=a-tad-hite
   1.03.009 tasya lopaḥ	1.03.009 tasya lopaH
